# Time-averaged data for fix strain_ave
# TimeStep v_strain_33 v_strain_31 v_strain_32
20000 0.00177496 -0.00130057 -0.00105885
40000 0.00392902 -0.00217634 -0.00203635
60000 0.00661017 -0.00331396 -0.00309263
80000 0.00901676 -0.00438014 -0.00396642
100000 0.012186 -0.00533089 -0.00527073
120000 0.0229849 -0.00866538 -0.00835648
140000 0.0237706 -0.00873101 -0.00861755
160000 0.0246958 -0.00906744 -0.0088582
180000 0.0256892 -0.00937577 -0.00904265
200000 0.0265623 -0.00947504 -0.00922155
